Año,Quarter,Ranking,Lenguaje,Porcentaje
2020,1,1,Python,17.4850.254
2020,1,2,JavaScript,13.0072.327
2020,1,3,Java,10.9770.772
2020,1,4,Go,9.1610.473
2020,1,5,C++,9.1120.516
2020,1,6,TypeScript,6.9570.042
2020,1,7,PHP,5.8890.183
2020,1,8,Ruby,5.3890.046
2020,1,9,C,4.0250.030
2020,1,10,C#,3.2050.369
2020,1,11,Shell,2.0570.258
2020,1,12,Scala,1.8620.257
2020,1,13,Rust,1.5480.600
2020,1,14,Kotlin,1.4020.252
2020,1,15,Swift,1.0700.105
2020,1,16,Nix,1.0580.175
2020,1,17,Dart,0.7090.099
2020,1,18,DM,0.5630.240
2020,1,19,Objective-C,0.4420.044
2020,1,20,Groovy,0.3910.021
2020,1,21,Perl,0.3700.061
2020,1,22,Elixir,0.3370.034
2020,1,23,Lua,0.3060.070
2020,1,24,Haskell,0.2370.019
2020,1,25,Clojure,0.2320.080
2020,1,26,OCaml,0.2010.001
2020,1,27,Emacs Lisp,0.1870.041
2020,1,28,PowerShell,0.1670.059
2020,1,29,SystemVerilog,0.1410.000
2020,1,30,Erlang,0.1100.016
2020,1,31,Puppet,0.107
2020,1,32,CoffeeScript,0.106
2020,1,33,Julia,0.096
2020,1,34,R,0.084
2020,1,35,hoon,0.066
2020,1,36,Vim Script,0.060
2020,1,37,Bicep,0.053
2020,1,38,Assembly,0.051
2020,1,39,Lean,0.049
2020,1,40,MATLAB,0.047
2020,1,41,F#,0.046
2020,1,42,Visual Basic .NET,0.043
2020,1,43,Fortran,0.036
2020,1,44,Vala,0.032
2020,1,45,WebAssembly,0.029
2020,1,46,Elm,0.028
2020,1,47,TSQL,0.027
2020,1,48,ABAP,0.027
2020,1,49,Verilog,0.025
2020,1,50,FreeMarker,0.024
2020,2,1,Python,17.8730.492
2020,2,2,JavaScript,12.8901.800
2020,2,3,Java,10.8800.191
2020,2,4,C++,9.5390.692
2020,2,5,Go,8.9360.196
2020,2,6,TypeScript,7.1890.581
2020,2,7,PHP,5.8290.207
2020,2,8,Ruby,4.6700.631
2020,2,9,C,4.2230.395
2020,2,10,C#,3.2010.335
2020,2,11,Shell,2.2380.176
2020,2,12,Scala,1.6360.071
2020,2,13,Rust,1.4780.449
2020,2,14,Kotlin,1.3490.084
2020,2,15,Nix,1.1400.296
2020,2,16,Swift,1.0190.272
2020,2,17,Dart,0.6910.098
2020,2,18,Objective-C,0.4480.085
2020,2,19,DM,0.4050.022
2020,2,20,Perl,0.3850.075
2020,2,21,Elixir,0.3660.090
2020,2,22,Groovy,0.3410.108
2020,2,23,Lua,0.3020.000
2020,2,24,Haskell,0.2700.022
2020,2,25,Clojure,0.2350.052
2020,2,26,Emacs Lisp,0.2220.085
2020,2,27,OCaml,0.1810.082
