Language,Repository,User,URL,NumberOfStar,NumberOfFork
Ruby,jekyll,jekyll,https://github.com/jekyll/jekyll,"51,245","10,270"
Python,exo,exo-explore,https://github.com/exo-explore/exo,"37,237","2,491"
JavaScript,express,expressjs,https://github.com/expressjs/express,"68,409","21,864"
Go,Fabric,danielmiessler,https://github.com/danielmiessler/Fabric,"36,159","3,657"
Rust,cocoindex,cocoindex-io,https://github.com/cocoindex-io/cocoindex,"4,816",367
C++,tensorflow,tensorflow,https://github.com/tensorflow/tensorflow,"193,005","75,149"
TypeScript,iptv,iptv-org,https://github.com/iptv-org/iptv,"106,514","4,935"
Swift,EeveeSpotifyReborn,whoeevee,https://github.com/whoeevee/EeveeSpotifyReborn,"1,953","8,617"
PHP,firefly-iii,firefly-iii,https://github.com/firefly-iii/firefly-iii,"21,783","2,004"
C,raylib,raysan5,https://github.com/raysan5/raylib,"29,823","2,816"
