Repository,User,URL,Language,NumberOfStar,NumberOfFork
exo,exo-explore,https://github.com/exo-explore/exo,Python,"37,237","2,491"
iptv,iptv-org,https://github.com/iptv-org/iptv,TypeScript,"106,514","4,935"
PayloadsAllTheThings,swisskyrepo,https://github.com/swisskyrepo/PayloadsAllTheThings,Python,"73,437","16,398"
PentestGPT,GreyDGL,https://github.com/GreyDGL/PentestGPT,Python,"10,377","1,546"
skills,anthropics,https://github.com/anthropics/skills,Python,"25,231","2,352"
cocoindex,cocoindex-io,https://github.com/cocoindex-io/cocoindex,Rust,"4,815",367
Fabric,danielmiessler,https://github.com/danielmiessler/Fabric,Go,"36,159","3,657"
tensorflow,tensorflow,https://github.com/tensorflow/tensorflow,C++,"193,005","75,149"
rendercv,rendercv,https://github.com/rendercv/rendercv,Python,"5,217",425
core,home-assistant,https://github.com/home-assistant/core,Python,"83,531","36,258"
EntraGoat,Semperis,https://github.com/Semperis/EntraGoat,PowerShell,816,80
langextract,google,https://github.com/google/langextract,Python,"18,294","1,302"
express,expressjs,https://github.com/expressjs/express,JavaScript,"68,409","21,864"
DeepAudit,lintsinghua,https://github.com/lintsinghua/DeepAudit,Python,"2,504",259
Free-Certifications,cloudcommunity,https://github.com/cloudcommunity/Free-Certifications,n/a,"48,152","3,209"
build-your-own-x,codecrafters-io,https://github.com/codecrafters-io/build-your-own-x,Markdown,"451,247","42,326"
LocalAI,mudler,https://github.com/mudler/LocalAI,Go,"40,553","3,270"
