Language,Total_Stars,Promedio_Stars,Num_Repos,Total_Forks,Promedio_Forks
C++,572792,26036.0,22,148048,6729.0
C#,470476,21385.0,22,78768,3580.0
Go,403909,21258.0,19,35680,1878.0
Python,368595,26328.0,14,42414,3030.0
Rust,353890,22118.0,16,19028,1189.0
C,335978,16799.0,20,99038,4952.0
Java,263889,14660.0,18,61669,3426.0
PHP,194616,11448.0,17,50741,2985.0
Kotlin,176941,9830.0,18,21875,1215.0
JavaScript,157229,17470.0,9,45135,5015.0
Perl,61944,4130.0,15,5156,344.0
Assembly,22916,1348.0,17,6981,411.0
R,17757,2220.0,8,153059,19132.0
Fortran,3136,348.0,9,1995,222.0
