Año,Quarter,Ranking,Lenguaje,Porcentaje
2020,1,1,Python,17.485
2020,1,2,JavaScript,13.0072
2020,1,3,Java,10.977
2020,1,4,Go,9.161
2020,1,5,C++,9.112
2020,1,6,TypeScript,6.957
2020,1,7,PHP,5.889
2020,1,8,Ruby,5.389
2020,1,9,C,4.025
2020,1,10,C#,3.205
2020,1,11,Shell,2.057
2020,1,12,Scala,1.862
2020,1,13,Rust,1.548
2020,1,14,Kotlin,1.402
2020,1,15,Swift,1.07
2020,1,16,Nix,1.058
2020,1,17,Dart,0.709
2020,1,18,DM,0.563
2020,1,19,Objective-C,0.442
2020,1,20,Groovy,0.391
2020,1,21,Perl,0.37
2020,1,22,Elixir,0.337
2020,1,23,Lua,0.306
2020,1,24,Haskell,0.237
2020,1,25,Clojure,0.232
2020,1,26,OCaml,0.201
2020,1,27,Emacs Lisp,0.187
2020,1,28,PowerShell,0.167
2020,1,29,SystemVerilog,0.141
2020,1,30,Erlang,0.11
2020,1,31,Puppet,0.107
2020,1,32,CoffeeScript,0.106
2020,1,33,Julia,0.096
2020,1,34,R,0.084
2020,1,35,hoon,0.066
2020,1,36,Vim Script,0.06
2020,1,37,Bicep,0.053
2020,1,38,Assembly,0.051
2020,1,39,Lean,0.049
2020,1,40,MATLAB,0.047
2020,1,41,F#,0.046
2020,1,42,Visual Basic .NET,0.043
2020,1,43,Fortran,0.036
2020,1,44,Vala,0.032
2020,1,45,WebAssembly,0.029
2020,1,46,Elm,0.028
2020,1,47,TSQL,0.027
2020,1,48,ABAP,0.027
2020,1,49,Verilog,0.025
2020,1,50,FreeMarker,0.024
2020,2,1,Python,17.873
2020,2,2,JavaScript,12.8901
2020,2,3,Java,10.88
2020,2,4,C++,9.539
2020,2,5,Go,8.936
2020,2,6,TypeScript,7.189
2020,2,7,PHP,5.829
2020,2,8,Ruby,4.67
2020,2,9,C,4.223
2020,2,10,C#,3.201
2020,2,11,Shell,2.238
2020,2,12,Scala,1.636
2020,2,13,Rust,1.478
2020,2,14,Kotlin,1.349
2020,2,15,Nix,1.14
2020,2,16,Swift,1.019
2020,2,17,Dart,0.691
2020,2,18,Objective-C,0.448
2020,2,19,DM,0.405
2020,2,20,Perl,0.385
2020,2,21,Elixir,0.366
2020,2,22,Groovy,0.341
2020,2,23,Lua,0.302
2020,2,24,Haskell,0.27
2020,2,25,Clojure,0.235
2020,2,26,Emacs Lisp,0.222
2020,2,27,OCaml,0.181
2020,2,28,SystemVerilog,0.162
2020,2,29,PowerShell,0.151
2020,2,30,Erlang,0.106
2020,2,31,CodeQL,0.098
2020,2,32,R,0.089
2020,2,33,Julia,0.087
2020,2,34,Lean,0.083
2020,2,35,CoffeeScript,0.081
2020,2,36,Assembly,0.069
2020,2,37,Bicep,0.068
2020,2,38,Puppet,0.067
2020,2,39,Vim Script,0.062
2020,2,40,MATLAB,0.056
2020,2,41,F#,0.055
2020,2,42,Smalltalk,0.053
2020,2,43,hoon,0.048
2020,2,44,Verilog,0.044
2020,2,45,Vala,0.043
2020,2,46,Visual Basic .NET,0.042
2020,2,47,Fortran,0.041
2020,2,48,Crystal,0.041
2020,2,49,WebAssembly,0.035
2020,2,50,ABAP,0.034
2020,3,1,Python,17.719
2020,3,2,JavaScript,12.5771
2020,3,3,Java,11.493
2020,3,4,C++,9.581
2020,3,5,Go,9.048
2020,3,6,TypeScript,7.6
2020,3,7,PHP,5.504
2020,3,8,Ruby,4.819
