Language,Repository,User,URL,NumberOfStar,NumberOfFork
Ruby,openproject,opf,https://github.com/opf/openproject,13792,3026
Ruby,docuseal,docusealco,https://github.com/docusealco/docuseal,11160,922
Ruby,chatwoot,chatwoot,https://github.com/chatwoot/chatwoot,26848,6094
Ruby,homebrew-core,Homebrew,https://github.com/Homebrew/homebrew-core,14947,13298
Ruby,rails,rails,https://github.com/rails/rails,58087,22139
Ruby,onetimesecret,onetimesecret,https://github.com/onetimesecret/onetimesecret,2662,421
Ruby,ruby,ruby,https://github.com/ruby/ruby,23262,5550
Ruby,scientist,github,https://github.com/github/scientist,7648,482
Ruby,fastlane,fastlane,https://github.com/fastlane/fastlane,40881,5969
Ruby,jekyll,jekyll,https://github.com/jekyll/jekyll,51328,10285
Ruby,zammad,zammad,https://github.com/zammad/zammad,5316,920
Ruby,endoflife.date,endoflife-date,https://github.com/endoflife-date/endoflife.date,3108,1114
Ruby,explore,github,https://github.com/github/explore,4640,13894
Ruby,kamal,basecamp,https://github.com/basecamp/kamal,13734,663
Ruby,choosealicense.com,github,https://github.com/github/choosealicense.com,4017,1515
Ruby,linguist,github-linguist,https://github.com/github-linguist/linguist,13236,4945
Ruby,ruby-advisory-db,rubysec,https://github.com/rubysec/ruby-advisory-db,1047,225
Ruby,gemoji,github,https://github.com/github/gemoji,4496,797
Ruby,email_reply_parser,github,https://github.com/github/email_reply_parser,699,157
Ruby,pages-gem,github,https://github.com/github/pages-gem,1871,356
Ruby,mm-github-pages-starter,mmistakes,https://github.com/mmistakes/mm-github-pages-starter,452,1121
Ruby,entitlements-github-plugin,github,https://github.com/github/entitlements-github-plugin,28,7
Python,claude-code-templates,davila7,https://github.com/davila7/claude-code-templates,15553,1347
Python,ai_agents_az,gyoridavid,https://github.com/gyoridavid/ai_agents_az,2419,643
Python,polar,polarsource,https://github.com/polarsource/polar,9180,635
Python,olmocr,allenai,https://github.com/allenai/olmocr,16703,1324
Python,Deep-Live-Cam,hacksider,https://github.com/hacksider/Deep-Live-Cam,77283,11294
Python,strix,usestrix,https://github.com/usestrix/strix,18973,1973
Python,networkx,networkx,https://github.com/networkx/networkx,16495,3450
Python,Amphion,open-mmlab,https://github.com/open-mmlab/Amphion,9639,788
Python,ComfyUI-GGUF,city96,https://github.com/city96/ComfyUI-GGUF,3108,240
Python,awesome-claude-code,hesreallyhim,https://github.com/hesreallyhim/awesome-claude-code,19955,1130
Python,FinanceDatabase,JerBouma,https://github.com/JerBouma/FinanceDatabase,6639,694
Python,llm,simonw,https://github.com/simonw/llm,10805,727
JavaScript,live,fanmingming,https://github.com/fanmingming/live,27159,4104
JavaScript,awesome-copilot,github,https://github.com/github/awesome-copilot,17094,1967
JavaScript,drawdb,drawdb-io,https://github.com/drawdb-io/drawdb,35455,2765
JavaScript,GDevelop,4ian,https://github.com/4ian/GDevelop,19275,1216
JavaScript,stylex,facebook,https://github.com/facebook/stylex,9059,377
JavaScript,WebKit,WebKit,https://github.com/WebKit/WebKit,9514,1801
JavaScript,eslint,eslint,https://github.com/eslint/eslint,26782,4882
JavaScript,cli,spicetify,https://github.com/spicetify/cli,21912,828
JavaScript,Sigma-Web-Dev-Course,CodeWithHarry,https://github.com/CodeWithHarry/Sigma-Web-Dev-Course,10849,3048
JavaScript,github-readme-stats,anuraghazra,https://github.com/anuraghazra/github-readme-stats,77879,29303
JavaScript,p5.js,processing,https://github.com/processing/p5.js,23332,3677
JavaScript,jquery,jquery,https://github.com/jquery/jquery,59683,20505
JavaScript,CloudFlare-ImgBed,MarSeventh,https://github.com/MarSeventh/CloudFlare-ImgBed,3932,4693
JavaScript,pipedream,PipedreamHQ,https://github.com/PipedreamHQ/pipedream,10987,5569
Go,wails,wailsapp,https://github.com/wailsapp/wails,32157,1552
Go,domain-list-community,v2fly,https://github.com/v2fly/domain-list-community,7228,1159
Go,dev-tools,the-dev-tools,https://github.com/the-dev-tools/dev-tools,179,8
Go,netbird,netbirdio,https://github.com/netbirdio/netbird,20949,1023
Go,Xray-core,XTLS,https://github.com/XTLS/Xray-core,34041,4857
Go,WeKnora,Tencent,https://github.com/Tencent/WeKnora,11305,1222
Go,girus-cli,badtuxx,https://github.com/badtuxx/girus-cli,2535,244
Go,crush,charmbracelet,https://github.com/charmbracelet/crush,17541,1053
Go,evcc,evcc-io,https://github.com/evcc-io/evcc,5998,1154
Go,filebrowser,filebrowser,https://github.com/filebrowser/filebrowser,32892,3640
Go,qui,autobrr,https://github.com/autobrr/qui,2121,55
Go,myclaude,cexll,https://github.com/cexll/myclaude,1724,218
Go,superfile,yorukot,https://github.com/yorukot/superfile,16319,427
Go,discordo,ayn2op,https://github.com/ayn2op/discordo,5002,165
Go,assets,trustwallet,https://github.com/trustwallet/assets,5204,26337
Go,tinygo,tinygo-org,https://github.com/tinygo-org/tinygo,17063,1007
Go,pocketbase,pocketbase,https://github.com/pocketbase/pocketbase,55111,3014
Go,ollama,ollama,https://github.com/ollama/ollama,159208,14130
Go,typescript-go,microsoft,https://github.com/microsoft/typescript-go,23706,785
Rust,tauri,tauri-apps,https://github.com/tauri-apps/tauri,101095,3289
Rust,rayhunter,EFForg,https://github.com/EFForg/rayhunter,4105,302
Rust,typst,typst,https://github.com/typst/typst,50410,1397
Rust,codex,openai,https://github.com/openai/codex,55859,7185
Rust,convex-backend,get-convex,https://github.com/get-convex/convex-backend,9096,514
Rust,fish-shell,fish-shell,https://github.com/fish-shell/fish-shell,32063,2194
Rust,meeting-minutes,Zackriya-Solutions,https://github.com/Zackriya-Solutions/meeting-minutes,9151,777
Rust,rocketmq-rust,mxsm,https://github.com/mxsm/rocketmq-rust,1434,221
Rust,sniffnet,GyulyVGC,https://github.com/GyulyVGC/sniffnet,32353,1180
Rust,helix,helix-editor,https://github.com/helix-editor/helix,42364,3251
Rust,lumen,jnsahaj,https://github.com/jnsahaj/lumen,1596,64
Rust,vaultwarden,dani-garcia,https://github.com/dani-garcia/vaultwarden,53260,2464
Rust,zed,zed-industries,https://github.com/zed-industries/zed,73031,6549
