Repository,User,URL,Language,NumberOfStar,NumberOfFork
opencode,anomalyco,https://github.com/anomalyco/opencode,TypeScript,61593,5300
superpowers,obra,https://github.com/obra/superpowers,Shell,16926,1336
ralph-claude-code,frankbria,https://github.com/frankbria/ralph-claude-code,Shell,1520,110
claude-code-templates,davila7,https://github.com/davila7/claude-code-templates,Python,15553,1347
plane,makeplane,https://github.com/makeplane/plane,TypeScript,43502,3271
twemoji,twitter,https://github.com/twitter/twemoji,HTML,17429,1903
UI-TARS-desktop,bytedance,https://github.com/bytedance/UI-TARS-desktop,TypeScript,22739,2198
twenty,twentyhq,https://github.com/twentyhq/twenty,TypeScript,38624,4916
home-assistant.io,home-assistant,https://github.com/home-assistant/home-assistant.io,HTML,7916,8081
claude-code,anthropics,https://github.com/anthropics/claude-code,Shell,55221,3996
ConvertX,C4illin,https://github.com/C4illin/ConvertX,TypeScript,14554,775
sim,simstudioai,https://github.com/simstudioai/sim,TypeScript,25408,3155
ai_agents_az,gyoridavid,https://github.com/gyoridavid/ai_agents_az,Python,2419,643
